1000 500
0 53 47
1 219 5
2 969 92
2 153 209
4 347 48
5 538 157
8 228 270
9 713 100
10 676 106
10 923 252
11 933 197
12 722 246
14 340 111
19 531 252
19 28 278
19 831 116
20 225 61
20 844 10
22 151 37
23 692 287
25 621 147
25 139 261
26 163 260
29 829 282
32 267 9
32 746 17
33 905 5
34 170 161
37 999 270
38 610 105
38 721 273
40 128 116
40 148 239
42 812 106
42 176 223
43 227 251
43 486 148
44 959 233
44 366 1
46 492 141
46 904 95
48 835 173
48 926 19
49 847 69
49 477 277
49 372 89
50 895 284
50 137 81
50 776 134
51 532 236
53 128 203
54 728 165
56 231 111
56 902 274
58 502 239
58 366 39
58 685 102
58 78 120
59 398 38
60 160 205
62 713 64
64 916 283
66 606 135
66 982 271
68 715 217
68 535 5
68 249 130
70 263 93
70 998 187
70 682 189
71 359 269
74 651 101
74 866 268
75 951 131
79 479 125
79 440 291
80 745 102
81 940 224
84 531 52
88 327 93
89 116 146
89 628 86
90 768 72
93 395 149
94 491 279
94 838 166
95 810 67
95 163 290
96 355 251
96 899 214
98 235 210
99 725 68
102 296 52
103 145 4
105 590 257
105 454 287
106 297 107
106 798 78
106 179 184
107 973 242
107 290 229
107 679 221
107 149 122
108 266 235
109 123 35
109 222 227
110 501 37
110 443 115
110 919 231
111 176 98
112 782 18
115 161 241
118 655 131
118 264 264
118 551 34
119 493 211
119 732 214
120 528 259
120 143 94
122 772 125
124 299 7
124 614 60
124 535 115
126 576 191
128 462 123
130 950 136
130 763 64
131 775 224
133 212 218
134 989 48
137 627 269
139 866 239
142 376 280
142 865 115
147 358 122
147 289 68
148 282 57
149 648 143
150 474 178
150 489 119
150 544 271
150 659 264
152 418 291
153 318 137
156 376 161
157 653 179
160 698 16
161 302 155
162 330 241
162 405 128
163 320 185
163 417 204
164 500 26
165 234 46
166 388 81
168 253 180
168 292 270
170 562 283
170 199 284
171 586 25
172 567 86
172 401 175
173 356 12
175 461 124
177 809 89
177 832 48
178 262 131
179 907 186
180 471 80
182 328 228
184 992 293
185 825 161
186 438 107
187 472 114
190 900 268
194 829 64
196 356 109
196 398 73
202 724 243
204 649 86
208 306 56
211 843 242
213 431 54
216 694 279
217 806 222
219 590 81
219 329 216
222 873 138
222 495 189
223 282 33
224 351 75
224 867 78
224 773 222
226 840 122
227 397 204
227 955 23
230 331 66
230 955 285
230 232 85
231 307 164
231 668 59
232 591 180
234 614 29
235 280 15
237 790 145
238 349 166
238 863 0
241 911 37
241 443 76
244 771 233
244 833 1
244 937 138
246 728 292
246 763 71
247 797 193
250 581 91
250 802 36
250 367 155
253 835 76
256 590 213
259 965 240
263 451 24
263 719 256
263 433 215
265 518 202
266 540 207
267 323 89
273 918 110
275 730 100
275 485 297
275 941 249
277 987 249
281 456 254
282 951 116
284 679 273
284 811 178
285 498 5
287 930 258
289 422 118
292 986 216
294 728 95
297 839 76
299 327 188
300 841 277
301 842 59
302 755 126
303 456 177
303 770 1
304 927 119
305 733 160
306 328 42
309 927 287
309 737 80
310 796 281
311 748 1
314 849 249
319 797 49
319 415 35
320 694 25
320 700 220
321 897 42
321 533 179
322 546 205
322 959 104
323 955 152
327 577 128
329 907 229
329 897 257
329 488 12
330 451 206
330 666 294
330 995 47
334 708 26
336 895 159
336 388 125
339 678 76
340 814 133
342 914 134
344 444 27
344 726 49
346 509 166
347 552 223
347 438 54
349 577 172
352 355 134
352 518 52
352 678 180
353 738 20
354 411 210
355 634 30
358 364 92
361 951 114
363 953 5
363 970 104
363 616 105
365 714 277
367 851 227
370 554 43
371 388 78
374 841 71
374 795 259
374 595 261
376 506 31
377 535 113
378 512 31
378 839 169
379 387 99
381 970 141
385 801 135
387 874 275
387 924 231
390 774 296
391 411 110
391 745 48
395 450 62
397 533 62
403 465 157
406 900 158
410 510 245
418 516 180
418 921 291
420 769 51
423 861 289
424 818 22
427 792 3
429 665 173
430 538 273
430 814 237
432 476 283
432 603 288
434 741 224
434 637 116
440 958 190
440 907 161
443 805 143
445 743 49
446 598 151
447 450 227
448 458 259
450 610 120
450 651 230
452 957 18
458 937 160
460 616 297
464 872 136
464 834 216
464 815 283
468 680 46
471 929 205
472 952 289
475 480 154
478 649 246
479 488 274
481 492 104
485 524 210
487 854 71
488 575 89
489 677 293
489 547 109
490 842 45
493 896 100
494 784 81
497 867 150
499 698 192
500 758 133
505 526 234
506 645 131
507 811 135
511 917 299
511 821 296
512 726 54
516 803 221
517 768 126
520 833 56
522 538 283
526 763 111
526 817 42
527 739 256
527 858 108
530 840 231
530 845 150
532 604 157
534 992 49
536 675 26
536 704 126
537 958 261
538 803 140
539 784 93
539 747 71
543 559 138
543 805 263
547 623 16
549 849 108
551 894 53
553 873 238
554 820 72
555 743 18
557 802 114
558 619 110
561 789 35
