10000 250000
0 7732 131
0 2663 137
0 4051 145
0 2246 36
0 1562 148
0 7255 121
0 619 238
0 4915 64
0 316 295
0 8139 74
0 587 139
0 8421 52
0 7775 48
0 6570 2
0 5269 241
0 9634 164
0 9745 201
0 9144 265
0 1768 6
0 4738 267
0 8640 214
0 4866 100
0 9716 85
0 6314 91
0 3 221
0 7534 241
0 4752 253
0 4757 284
0 3449 233
0 4024 236
0 956 194
0 9251 82
0 1710 14
0 5021 81
0 4224 13
0 5030 45
0 1480 163
0 1947 166
0 9032 264
0 9875 296
1 1512 56
1 6883 221
1 6507 221
1 8092 294
1 35 11
1 476 287
1 3183 249
1 6670 257
1 2137 264
1 3456 83
1 6587 80
1 6799 287
1 7011 216
1 9514 8
1 4008 146
1 7985 196
1 8661 188
1 7443 300
1 1003 93
1 9312 83
1 364 85
1 8227 214
1 9115 265
1 6127 266
1 7404 151
1 4799 281
1 7837 15
1 3838 53
1 3449 277
1 9530 80
1 5754 96
1 6074 85
1 471 170
1 2591 19
1 2914 139
1 1387 267
1 3444 115
1 8651 159
1 9910 40
1 875 238
1 1207 35
1 1990 189
1 9581 111
1 2845 297
1 1611 250
1 3198 183
1 5716 43
1 2519 9
1 7189 59
1 1744 290
1 8480 227
2 3987 189
2 6952 146
2 7535 142
2 7060 144
2 3481 204
2 7242 234
2 8267 63
2 3869 58
2 4602 150
2 4792 207
2 923 218
2 7199 157
2 2685 59
2 4365 158
2 7657 52
2 2923 274
2 1648 97
2 7398 131
2 4998 197
2 3369 212
2 9127 38
2 1761 77
2 7406 182
2 1841 143
2 587 263
2 5228 137
2 2983 264
2 135 265
2 5809 95
2 6092 138
2 159 29
2 3510 30
2 7829 72
2 6166 195
2 5774 135
2 7037 33
2 5949 166
2 2780 31
2 1877 90
2 3838 24
2 6760 155
2 5663 246
2 5194 217
2 1737 174
2 3361 136
2 8980 50
2 9037 260
2 5897 279
2 8961 2
2 8846 185
3 3960 101
3 1280 41
3 5085 182
3 4339 154
3 9608 38
3 4895 264
3 3298 164
3 9666 252
3 8703 80
